"IPAddress","Status","Expiration","Issuer","Subject"
"192.168.0.1","EXPIRED","1/7/2025 5:59:59 PM","C=SK, O=""ESET, spol. s r. o."", CN=ESET SSL Filter CA","CN=myrouter.io, O=Comcast Corporation, S=Pennsylvania, C=US"
"192.168.0.33","EXPIRED","6/18/2023 5:24:13 PM","CN=The original certificate provided by the server is untrusted","E=..., CN=..., OU=..., O=..., L=Munich, S=Bavaria, C=DE"
